ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month,default_payment_next_month.0,default_payment_next_month.1,default_payment_next_month.predicted(th=0.24621)
28006,150000,M,graduate school,single,27,0,0,0,0,0,0,51032,69242,65366,62283,60942,55878,30000,20142,3759,7022,20000,10000,0,0.97527087,0.024729142,0
7322,360000,F,graduate school,single,28,0,0,0,0,0,0,78398,86955,127146,103273,91933,108163,25126,60259,27208,31262,90114,30463,0,0.9739401,0.026059952,0
18756,300000,M,graduate school,single,29,-2,-1,-1,0,0,0,25370,18078,21245,36737,37071,24930,21250,23005,35012,25000,24000,24000,0,0.97091484,0.029085167,0
29707,420000,F,university,married,43,0,0,0,0,0,0,36590,44670,60376,30099,66049,61043,42063,30253,20016,40015,30004,3000,0,0.96703315,0.03296688,0
28514,320000,M,graduate school,single,31,-1,-1,-1,0,-1,-1,66604,9293,19905,15645,11388,28017,9293,19905,15452,11388,28017,19364,0,0.96641636,0.03358366,0
14720,240000,F,graduate school,single,33,-1,-1,-1,-1,-1,-1,6785,57953,20367,6997,15607,44412,58243,20469,7032,15685,44513,20159,0,0.9663019,0.033698108,0
6877,360000,F,,single,30,0,0,-1,0,0,-1,40250,23022,12272,34345,36777,30,23000,12280,25007,25008,1767,3300,0,0.9662467,0.033753265,0
19760,310000,M,graduate school,married,35,0,0,0,0,0,0,143072,153378,176904,174117,125526,108107,30000,30000,10054,10000,10000,5000,0,0.9634606,0.036539357,0
10662,500000,M,graduate school,married,40,-1,-1,0,0,0,0,4240,80648,110704,99984,71135,56594,80648,35000,10000,10000,2430,10000,0,0.9634414,0.036558613,0
20089,370000,M,university,single,35,-2,-2,-2,-2,-2,-2,20108,13976,12939,11367,17049,27337,13994,12939,11380,17049,27337,14146,0,0.9631243,0.03687575,0
15457,200000,F,graduate school,single,29,-2,-2,-2,-2,-2,-2,33188,10293,55615,37643,47437,38640,11958,73912,37858,47675,38834,49403,0,0.9602652,0.039734803,0
10994,220000,M,graduate school,single,30,0,0,0,0,0,0,91178,99541,74718,64087,72992,74646,10128,10000,5000,10000,3000,10000,0,0.955263,0.044736966,0
28310,360000,M,graduate school,married,36,-1,-1,-1,-1,-1,-1,18641,7174,11044,15887,8607,8843,7174,11044,15895,8607,8843,3000,0,0.95520616,0.044793837,0
28356,430000,M,university,married,42,-1,-1,-1,-1,0,-1,38495,11935,32878,115683,84049,37210,11935,32887,115683,0,37210,29559,0,0.9551999,0.044800103,0
11970,260000,M,graduate school,married,35,0,0,0,0,0,0,51133,60247,63615,71839,75506,78647,10000,5000,10000,5000,5000,10000,0,0.9551109,0.04488911,0
29869,320000,F,graduate school,single,30,0,0,0,0,0,0,95526,97737,101151,104203,108867,40411,5000,5000,5000,5364,5010,5013,0,0.95097566,0.04902434,0
5707,350000,M,graduate school,others,48,-1,-1,-1,-1,-1,-1,181212,6021,154505,19653,26963,55533,6046,157181,19751,27070,55613,11811,0,0.95097536,0.049024623,0
2840,210000,M,graduate school,single,31,0,0,0,0,0,0,121697,120133,118496,116033,114617,108328,5000,5000,4036,5000,4000,4000,0,0.94229364,0.057706326,0
20568,290000,F,university,married,30,-1,-1,-1,0,0,0,8452,7718,237648,236463,146420,148600,7728,237648,8900,5300,5541,4700,0,0.9422799,0.057720136,0
23703,340000,M,university,married,57,-1,-1,-1,-1,-1,-1,16729,8942,10301,20793,14817,4614,8942,10321,20793,14817,4614,7005,0,0.94225925,0.05774076,0
21817,120000,M,graduate school,single,26,0,0,0,0,0,0,115520,98551,84797,66398,44428,31738,5001,5076,5000,3042,2110,600,0,0.9422258,0.057774175,0
15922,130000,M,university,married,28,0,0,0,0,0,0,115303,113502,111651,102622,96723,98827,4157,4168,5025,3223,4105,4000,0,0.9037769,0.0962231,0
14914,310000,M,university,single,29,0,-1,-1,0,0,-1,1469,1340,9794,15792,8944,88643,1340,9794,7004,1000,89137,4150,1,0.9037112,0.0962888,0
20139,500000,M,high school,single,36,-2,-2,-2,-2,-2,-2,51132,8830,7570,1576,0,13295,8830,7570,1576,0,13295,38090,0,0.9036782,0.09632182,0
12665,50000,M,,married,45,0,0,0,0,0,0,48984,49878,47024,29194,27146,28506,2000,1500,2000,2000,2000,1500,0,0.9018267,0.09817331,0
15699,260000,F,university,single,34,0,0,0,0,0,0,32324,24103,20158,12619,176498,172274,1503,2260,3030,170039,6227,6052,0,0.901803,0.09819699,0
17985,100000,F,high school,single,32,0,0,0,0,-1,-1,54483,45433,40870,10726,1121,61067,2460,2220,1400,1121,61067,2210,0,0.90178627,0.098213755,0
26498,90000,M,high school,married,52,0,0,0,0,0,0,42567,43578,44881,43906,43767,43619,2022,2325,1510,1199,2380,1204,0,0.86802924,0.13197075,0
28234,50000,M,university,married,41,0,0,0,0,0,0,74903,49413,50812,50261,29720,30233,2120,2500,1905,1500,1200,1200,0,0.8679387,0.13206132,0
8219,30000,M,university,single,46,0,0,0,0,0,0,32006,60079,26882,27570,28075,29065,1755,1500,1135,1100,1455,775,0,0.8392785,0.16072147,0
2264,80000,M,university,single,25,0,0,0,0,0,0,7536,5024,5589,6094,45342,45877,1200,1100,1000,40000,1700,1700,0,0.8391223,0.16087772,0
16851,230000,F,university,others,37,-1,0,0,0,0,-1,11770,16479,20474,26492,326,1056,10000,5000,16492,0,1056,326,0,0.83892286,0.16107717,0
2688,500000,M,graduate school,married,44,-2,-1,0,0,0,-1,71921,367979,294969,189612,128459,167105,368199,6486,234,90,167116,372495,0,0.83877146,0.16122854,0
17628,20000,M,university,married,30,0,0,-2,-2,-1,0,3366,0,0,0,2105,2105,0,0,0,2105,0,0,0,0.83867013,0.16132986,0
27969,120000,M,graduate school,single,28,-1,-1,-1,-1,-1,-1,2494,1394,780,470,-170,180,2000,780,470,0,500,1335,0,0.8022199,0.19778006,0
11340,210000,M,university,married,42,-1,-1,-1,-2,-2,-2,4221,336,0,0,0,0,336,0,0,0,0,0,0,0.8021808,0.19781919,0
2915,320000,M,university,single,50,-1,0,-1,-1,-1,-1,5714,7870,342,-6,1252,0,3000,342,2,1500,0,10701,0,0.80205584,0.1979442,0
17055,50000,M,university,single,22,0,0,2,0,0,0,38340,41362,34656,35004,35514,2582,3700,0,1200,710,52,1000,0,0.80205125,0.19794875,0
12289,30000,F,university,single,35,0,0,2,2,-2,-2,22583,25067,23237,0,0,0,3026,0,0,0,0,0,0,0.7216326,0.27836737,1
6745,10000,F,university,single,23,0,0,2,0,0,2,7886,9085,7784,8547,8907,6844,1500,1000,1000,600,200,500,1,0.7214875,0.2785125,1
9856,170000,F,graduate school,married,44,1,2,0,0,0,0,84947,78724,68387,51511,33939,34330,2000,2000,3057,2000,5000,2000,1,0.72141045,0.27858955,1
25138,260000,F,high school,single,52,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,4012,0,0.695897,0.30410305,1
17282,20000,M,high school,single,39,0,0,0,2,2,3,8720,12241,16020,16457,20906,20289,4000,4000,1000,4750,0,600,1,0.6957042,0.30429578,1
3758,180000,M,graduate school,single,27,1,-2,-2,-2,-2,-2,-200,-200,-200,-200,-200,-200,0,0,0,0,0,0,1,0.6955285,0.3044715,1
9590,170000,M,graduate school,single,30,1,-2,-1,-1,-2,-2,0,0,550,0,0,0,0,550,0,0,0,0,1,0.6952429,0.3047571,1
3212,40000,M,high school,married,49,1,-2,-2,-2,-2,-1,0,0,0,0,0,150,0,0,0,0,150,159,0,0.6548493,0.34515068,1
8782,360000,F,high school,single,30,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.65439033,0.34560966,1
10685,230000,F,high school,single,30,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.65439033,0.34560966,1
24930,350000,F,university,married,38,1,2,0,0,2,0,70845,69318,71301,75129,71313,68046,0,3500,5500,0,2500,2000,0,0.6045164,0.39548364,1
12826,320000,F,graduate school,married,58,-1,2,-1,0,0,-1,380,64,948,632,316,316,0,1200,0,0,316,316,0,0.604468,0.39553204,1
11283,50000,F,high school,married,47,1,2,0,0,0,0,66978,65198,48951,17744,36230,37128,0,2600,635,657,750,501,1,0.60426295,0.39573708,1
15523,220000,F,university,married,39,1,2,0,0,0,0,4949,4724,6478,7412,7886,8358,0,2000,1200,600,600,600,0,0.6041907,0.3958093,1
2390,150000,M,university,single,39,1,2,2,0,0,2,21019,19890,19271,19037,20448,19345,1602,0,1000,1709,0,1000,0,0.5518858,0.44811422,1
14075,90000,M,graduate school,single,28,1,2,2,2,2,0,56889,55407,64428,64767,65579,67328,0,10000,2000,2000,3000,3000,1,0.55146873,0.44853124,1
17777,160000,M,high school,married,53,1,-2,-1,2,2,-2,0,0,3613,2722,0,0,0,3613,0,0,0,0,0,0.5513332,0.4486668,1
4640,230000,M,high school,single,39,1,2,0,0,0,-2,11391,10923,13554,12134,0,0,0,3200,0,0,0,0,0,0.5502757,0.4497243,1
19150,70000,M,graduate school,married,36,1,2,2,0,0,2,18514,19913,19310,20021,22175,21680,2000,0,1339,2493,0,792,1,0.5040197,0.49598032,1
7756,60000,M,university,single,29,-1,2,2,-1,2,2,4603,4186,0,1887,1543,3972,0,0,1887,0,3557,0,0,0.5033286,0.49667138,1
19832,80000,M,university,single,36,1,2,2,2,0,0,81606,154026,82385,79795,48999,48161,0,7600,5,2000,2000,2000,1,0.5031115,0.49688855,1
27705,50000,M,graduate school,single,24,1,2,2,2,2,0,33385,35538,34686,39097,38171,39396,3000,0,5000,0,2000,5000,0,0.50233436,0.49766567,1
25374,80000,M,university,married,27,1,2,2,2,2,-1,3970,1603,3740,2000,0,2096,0,2191,0,0,2096,0,1,0.46795362,0.5320464,1
23624,80000,M,university,single,32,1,2,-1,2,2,2,7604,7320,150,150,800,650,0,150,0,650,0,500,1,0.4659593,0.5340407,1
9192,350000,M,university,others,44,2,2,-2,-2,-2,-1,52949,-4577,-4577,-2699,-2699,297301,3682,0,1878,0,300000,0,0,0.46554166,0.53445834,1
6507,50000,F,university,single,52,1,2,0,0,0,2,5893,5653,6747,7859,7464,7199,0,1200,1200,1200,0,1200,0,0.46518314,0.53481686,1
25728,320000,M,university,single,26,1,3,2,2,2,0,303926,305625,299382,316898,310361,312581,8100,0,24100,0,11700,12000,1,0.40113985,0.59886014,1
3835,50000,M,high school,married,25,2,2,0,0,0,0,31097,30322,31142,29391,30099,28041,0,1833,1000,1000,10000,10000,1,0.40082872,0.5991713,1
6592,50000,M,university,married,41,2,0,0,0,-1,0,33343,31392,27315,-60,28890,29168,1502,1000,0,30070,1180,1000,0,0.4007796,0.5992204,1
21914,30000,M,university,single,23,1,2,2,2,2,2,11174,11989,12997,12491,13374,13017,1300,1500,0,1090,0,2000,1,0.39993346,0.60006654,1
6374,100000,F,graduate school,married,52,4,5,4,3,2,0,101762,102832,100328,97883,96238,96160,3504,0,0,0,3469,3422,1,0.39988518,0.6001148,1
9902,250000,M,graduate school,single,28,2,2,2,0,0,0,21404,48774,28705,32017,19052,9847,28705,0,4000,3000,1500,1000,1,0.39843076,0.60156923,1
7217,80000,M,high school,married,46,2,0,0,0,0,2,77490,80204,79650,81338,81438,80959,5000,4000,4003,13000,3515,0,1,0.32600874,0.67399126,1
7417,110000,F,university,single,34,2,0,0,0,0,2,108180,107597,89775,47139,47259,46348,5000,3000,2020,5000,0,3000,0,0.32588577,0.6741142,1
11404,20000,M,university,married,37,4,3,2,0,0,0,20460,19860,19100,18500,18500,18500,0,0,0,0,0,4500,0,0.32574183,0.6742582,1
6371,120000,F,university,single,31,3,3,2,2,-2,-2,113722,110525,103632,-36,-18,-18,0,0,0,0,0,0,0,0.32547802,0.674522,1
26785,160000,F,university,single,26,4,3,3,3,2,2,152924,152142,155201,157202,153311,162973,3200,7000,6000,0,12000,0,1,0.32545638,0.6745436,1
10554,130000,M,graduate school,single,30,2,0,0,2,0,0,112822,115526,123658,120259,121205,124778,4527,10122,1,4355,8918,0,1,0.29401374,0.70598626,1
9420,130000,M,university,single,29,2,2,0,0,0,-1,172094,156589,145398,136115,138893,127502,0,3300,2500,2778,130000,3689,0,0.29323333,0.70676666,1
90,20000,F,high school,single,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,0,0.29252088,0.7074791,1
5601,80000,M,university,married,23,2,0,0,0,0,0,82628,134880,67325,68652,70388,76743,2500,2404,3000,2800,7700,0,1,0.29193681,0.7080632,1
20273,190000,M,university,married,48,2,2,2,2,0,0,90128,92367,94227,91943,93546,95759,4500,4100,0,3500,3600,3500,1,0.23540592,0.7645941,1
7993,50000,M,university,single,23,2,2,2,3,2,2,31805,32988,34935,34076,34685,33976,2000,2800,0,1300,0,3700,1,0.23531651,0.7646835,1
13263,40000,M,university,married,24,2,0,0,2,2,2,25618,26701,30421,29633,31548,30889,1800,4500,0,2400,0,3000,1,0.2185319,0.7814681,1
8111,50000,M,high school,married,22,2,2,2,2,2,2,40189,43434,44316,45189,46214,48904,3900,1900,1900,1900,3600,0,0,0.21829647,0.78170353,1
1432,70000,M,university,married,42,2,2,2,2,2,2,50886,51975,52527,53560,54653,55797,2200,2000,2500,2100,2200,2100,1,0.21814805,0.78185195,1
10540,220000,F,university,married,47,4,3,2,2,2,2,216591,197022,198088,187000,179703,174571,0,6000,0,14004,0,7000,1,0.21808481,0.7819152,1
328,60000,M,university,married,34,2,2,2,2,2,0,24898,27976,27233,30184,29566,30225,3800,0,3720,0,1300,1291,1,0.21793216,0.78206783,1
6557,20000,F,university,single,22,3,2,2,3,2,2,16014,15474,19739,19194,38414,19200,0,4900,0,800,800,500,1,0.21778238,0.7822176,1
16401,10000,M,high school,single,44,2,2,2,2,2,2,10422,9775,10964,11153,10762,10126,0,2500,1000,400,0,672,1,0.20076036,0.79923963,1
26915,150000,F,university,married,36,2,2,2,2,2,2,47529,40605,39394,37686,38810,31548,17,3105,2,2020,36,1048,1,0.19971847,0.8002815,1
2757,200000,F,university,married,31,7,6,5,4,3,2,254266,240966,228663,217600,208432,200057,0,328,0,0,600,2500,1,0.19951934,0.80048066,1
28532,200000,M,graduate school,married,40,2,2,2,2,2,2,80468,82874,84900,85758,87003,89112,4200,4100,3000,3400,3500,0,1,0.19922167,0.8007783,1
25634,70000,M,graduate school,single,34,2,2,2,2,2,2,43357,44347,43357,46626,47562,48651,2000,0,4000,2000,2000,2000,1,0.19917732,0.8008227,1
9833,100000,F,high school,married,67,2,2,2,2,2,2,16918,20511,19944,22915,23472,23016,4145,0,3260,1000,0,2286,1,0.19891554,0.80108446,1
9651,70000,F,university,single,24,3,2,2,2,2,2,63000,64397,65253,63609,68397,69605,3000,2500,0,6000,2500,2700,1,0.19829822,0.8017018,1
4883,50000,F,university,single,29,2,2,2,2,2,2,43205,46516,45468,48703,50774,49514,4000,0,4000,3000,0,3000,1,0.19781351,0.8021865,1
17809,10000,F,university,single,24,3,2,2,3,3,3,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,1,0.15844154,0.84155846,1
13712,200000,F,graduate school,married,30,2,2,2,2,2,2,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,1,0.15793997,0.84206003,1
13744,260000,F,graduate school,single,29,2,2,2,2,2,2,2497,2497,2497,2497,2497,2497,0,0,0,0,0,0,1,0.1476081,0.8523919,1
24346,200000,F,university,married,45,3,2,2,2,2,2,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,1,0.13752538,0.8624746,1
27193,250000,F,graduate school,single,32,3,2,2,2,2,2,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,1,0.13450098,0.865499,1